temp,wind
86.5,5.2
89.8,5.4
90.5,5.8
88.4,4.6
87.2,5.8
87.8,4.9
89.4,5.2
92.1,5.2
92.9,6.1
94.4,4.7
94.5,5.3
94.4,6.3
94.7,6.6
88.6,9.5
84.4,7.6
84.8,5.4
87.8,4.2
90.9,4.9
90.6,5.5
89.8,5.8
89.3,5.8
87,6.4
85.1,7.3
85.9,6.1
88.1,5.1
90.9,4.4
90.5,5.2
84.4,7.8
83.1,9.6
74.9,8.4
77.4,7
77.5,6.8
77.3,6.4
83.9,7.8
88.1,11.6
86.2,9.1
85.7,7.4
87.2,4.9
90.9,6.6
91,5.2
92.1,6.4
93.1,6.4
92.1,8
86.9,9.5
89.2,8.1
86.7,7.2
88,5.7
90.9,5.5
92.9,6.6
89.9,11.1
85.7,9.5
89.7,7.6
88.9,8.1
89.9,7.6
88.9,6.4
75.1,12.3
67.4,8.3
68.7,6.1
71.4,4.5
76.5,5.6
77.3,6.1
80.4,4.9
84.2,5.9
81.9,6
80.2,6.5
80.8,6.9
83.5,5.8
86.6,5.4
88.2,6.5
84,10
79.2,5
83.4,6.5
85,5
84.6,7.3
83.6,7
83.7,7.2
78.8,6.3
78.7,6.2
82.6,8.2
82.7,7.3
83.3,5.7
78.9,6.2
76.8,7.6
79.4,4.9
80.9,5.6
84.1,3.6
84.7,5.7
81.2,8.6
82.3,6.6
83.2,5.3
82.6,7
79.5,8.3
81.5,7.3
83.5,7.9
84.5,6.2
85.4,5.3
87.2,5.5
86.7,6
85.5,7.5
81,6.1
76.6,6.9
76.3,6
73.1,4.6
72.5,6.5
72.7,5.1
74.3,5.3
77.1,4.3
80.3,7.2
80.7,5.9
82.8,4.5
81.6,6.5
83.2,7.6
85.4,6.4
84.7,5.5
86.6,5.9
84.7,8.3
84.8,6.2
84.9,6.5
84.2,8.6
81.5,6.6
81.2,5.8
