pm10,pm25
30.5,6.3
23.9,5.5
27.2,7.5
18.8,5.2
27.3,6.3
26.1,6.2
26.8,6.8
28.3,7.3
27.2,6.9
28.7,7.3
30.5,7.6
25.1,8.3
21.9,8.3
39.1,12.5
31.5,9.1
37.2,13.9
39.1,11.9
26.4,13.1
26.7,10.6
25.2,7.5
26.8,8.5
34.4,10.3
43.1,12.3
30.2,9.4
20.6,7.3
22.7,6.1
29.4,9.8
93,26.4
23.9,8.5
27,6.6
34.2,8
49.2,15.4
26,7.1
25.1,6.4
25.2,7.9
23,7
25.2,9.1
72.6,18.6
57.3,16.8
37.9,11.3
22.1,7.7
23.1,8.2
24.9,9.6
32.1,10
34.4,10.9
72.2,17.7
109.4,29
68.7,20.9
53.8,18.3
35.3,15
18.1,7.3
28.1,8.9
38.7,15.4
10.2,5.8
9.7,5
14.8,6.6
11.9,4.5
19.2,4
24.6,5.7
31.2,5.4
22.1,5.4
19.1,6
13.5,4.5
21.6,6.6
25.2,7.6
22.1,5.8
28.9,6.5
22.2,9
22.1,13.9
34,13.6
27.1,8.7
20.8,6.6
19.2,6.3
22.2,8.1
21.4,8.3
22,9.9
23.9,10.8
30.1,11.4
21.7,8.4
14.1,5.2
14.7,3.9
19.2,5.4
29.7,8.4
26,7.7
23.3,7.2
20.5,6.6
19.2,5.8
15.5,5.5
13.8,7.2
25.3,16.9
23.7,13
24.1,13.3
41,13.9
35.2,11.5
21.2,6
21.2,5.6
23.3,6.1
14.6,3.6
13.3,3.2
14.2,3.7
10.5,2.9
11.7,2.7
16.3,4.1
21.1,5.8
16.8,5.6
23.9,5.6
27.4,7
35.2,7
22.4,7
27.7,6
22.2,5.1
23.4,5.8
23.4,6.2
25.7,6.7
21.9,6.6
17.6,6.3
32.4,10.1
28,10.3
