pm10,ozone
22.4,40
23.8,41
37,39
22.1,46
27,48
26.1,53
33.2,50
31.9,44
26.1,45
33.8,44
24,46
21.4,47
30.4,38
25.5,32
26.8,31
25.4,37
24,36
26.9,46
28.6,42
29.4,43
31,42
44,37
44.9,55
60.1,51
32.9,49
21.9,46
18.7,42
17.5,28
18.8,34
36.4,36
16.9,34
16.5,43
16.5,41
18.8,42
32.9,37
37.4,43
41.8,41
22.9,43
33.2,45
20.3,42
22,35
22.4,33
22.9,33
22.2,33
120,40
48.4,45
33.8,43
37.8,47
29.2,47
29,35
23.6,33
23.5,35
26.5,41
86.1,44
82,40
24.2,53
33.4,37
18.6,40
22.6,42
33.5,41
24.8,41
19.6,42
19.3,48
29.2,44
27.2,48
26.4,43
33.9,43
19,41
20,39
16.4,38
22.3,39
18.1,41
20.2,44
26.8,30
24.7,52
25.2,39
34.7,38
23.3,38
23.6,34
16.8,39
21.5,41
21.6,33
28,31
31.3,35
22.1,41
21.9,43
17.4,41
20.5,36
16.9,31
17.1,29
20.3,47
22.2,50
18.1,47
22.2,47
26.3,51
29.9,59
28.6,53
22.2,47
28,40
40.4,39
51.1,33
36.2,30
25.6,34
31.5,33
34.2,30
29.4,39
24.9,50
34,47
46.7,49
32.5,41
30.4,38
38.5,42
56.1,48
43.8,52
36.4,48
25.7,48
25.6,53
27.2,42
33.3,39
38.1,37
55.4,43
26.3,45
33.4,47
49,48
30.7,49
20.6,57
19.1,36
16.1,36
16.9,43
16,52
34.9,49
25,54
31.3,39
19,30
20,29
18.1,34
23.7,36
25.2,38
24.4,39
21,41
25.6,39
24,36
19,37
20.7,39
16.6,43
26.4,34
24.5,34
32.3,44
29.1,39
16.5,40
18.1,47
23.8,50
26,53
23.7,42
17.5,34
27.6,46
22.3,44
20.5,41
25.2,37
24,34
19.3,47
18.2,39
21.6,31
35.1,35
29.6,38
22.5,37
15.7,36
28.7,30
29.7,29
24.6,37
20.2,44
22.5,34
20.4,45
19.6,40
24.5,43
28.3,47
31.7,43
32.5,44
34.5,28
36,34
59.7,48
26.9,53
79.2,39
38.9,45
32.8,37
41.4,42
50.2,44
24.2,43
28.8,35
32.9,33
47.9,41
36.7,40
37.8,35
19,35
19.4,37
26.8,34
21.9,44
29.2,46
27.3,50
26.4,40
26,45
46.2,41
42,48
43.2,47
30.9,42
45.3,43
59.2,41
22.6,41
19.6,43
26.4,37
31.3,39
35.3,44
35,45
26.7,40
27.7,49
18.9,51
20.6,47
25.1,40
39.7,35
27.4,39
20.1,45
22.2,47
19.4,48
29.5,43
33.6,32
35.7,33
30.1,45
27.5,40
30.8,51
25.6,48
31.4,40
40.3,54
30.3,60
33.2,55
23.1,56
24.3,58
32.1,57
29.9,46
31.5,49
28.9,47
29.5,51
33.4,57
22.9,66
21.9,49
24.1,36
26.1,28
50.3,36
22,36
16.6,43
20.1,47
19.2,45
27.2,48
30.2,39
34.7,39
25.1,43
18.6,46
22.7,40
25.1,40
29.8,42
27.2,43
24.4,40
19.1,43
17.6,44
22.5,40
19.8,39
20.5,38
22.6,38
30,48
33.3,43
27,33
28.4,42
27.3,43
32.2,45
18.9,47
32.5,44
28.4,42
33,41
32.1,34
42.8,36
27,34
16.6,34
29.9,42
38.5,50
40.4,37
34.7,38
23.9,43
32.2,34
29.7,37
30.5,41
28.1,41
43.2,37
30.1,45
27.2,41
29,35
42.9,35
38.5,40
30.2,45
30.9,40
24,37
28.9,37
42.8,37
28.3,34
25.4,30
30.9,32
60,39
29,40
19.8,45
22.4,39
27.7,31
34.1,34
38.5,45
35.9,34
22.8,46
24.4,44
31,53
31.5,42
24.8,48
26.6,51
28.6,46
27.3,50
21.7,47
27,51
31,47
31.3,54
28.5,58
38.9,46
112.2,50
30.6,38
31.2,48
24.5,44
32.3,39
28.1,50
21.6,54
28,59
27.8,47
28.2,55
28.6,53
27.7,47
19.9,56
19.2,45
19.1,34
22.8,36
37.7,42
26.5,48
27,43
22.5,40
23.2,34
25.8,44
32.6,41
34.2,43
23.5,42
34.1,36
24,42
18.6,39
21,37
