pm10,nitrogen
22.5,1.6
23.2,6.2
25.8,5.6
32.6,6.7
34.2,3.6
23.5,6.2
34.1,8
24,5.6
21,2.4
67.5,6.2
35.1,5.3
26.7,1.4
18.4,4.4
21.3,6.1
17,5.4
19.8,7
28.2,8.9
46.6,16.4
39.3,8
25.3,4.3
20.5,6.1
35.5,5.1
22.4,10.1
35.2,17.3
50.7,5.1
23.4,6
20.7,9.2
37.7,5.6
24.1,6.5
18.1,7.7
16,6.1
18.1,7.8
23.7,7.5
31.4,8.6
16.4,5.7
23.3,6.8
81.2,5.8
27.2,4.9
25.6,10.2
39.7,8.5
44.2,7.1
26,4.2
29.7,3.9
22.7,5.4
21.3,10.1
17.7,5.9
21.7,5.5
30.3,5.2
24.3,5.1
22.4,5.7
83.4,8.9
22.7,8.4
25.9,11.1
34,11.5
36.6,10.1
24.7,9.8
19.5,5.8
20,3.5
18.2,4.7
29.5,6.8
35.7,6.5
21,7.1
19.2,8.3
17.7,7.4
14.9,6.3
15.8,6
15.9,7.2
21.4,9.1
25.1,12.5
35.4,19
33.8,3.7
25.5,4.5
19.7,5.8
20.6,8.4
34.4,10.3
21.8,8
30.5,13.4
23.9,10.7
27.2,10
18.8,7.3
27.3,9.9
26.1,8.9
26.8,8.1
28.3,12.1
27.2,9.2
28.7,9
30.5,4.4
25.1,7.9
21.9,9.7
39.1,21.2
31.5,14.3
37.2,13.9
39.1,7
26.4,6.3
26.7,10.3
25.2,11.3
26.8,11.6
34.4,21.9
43.1,24.3
30.2,10.5
20.6,7.8
22.7,3.9
29.4,4.5
93,7.5
23.9,7.8
27,11.9
34.2,9.8
49.2,5.3
26,6.7
25.1,8.8
25.2,18.3
23,11.2
25.2,17.4
72.6,13.3
57.3,8.5
37.9,7.7
22.1,4.4
23.1,6.7
24.9,10.2
32.1,15.4
34.4,18.2
72.2,7
109.4,4.4
68.7,5.6
53.8,6.5
35.3,7
18.1,6.8
28.1,7.5
38.7,2.9
10.2,4.1
9.7,4.3
14.8,10
11.9,7.5
19.2,10.2
24.6,10
31.2,5.5
22.1,7.1
19.1,6.9
13.5,5.9
21.6,8.2
25.2,9.7
22.1,7.3
28.9,3.2
22.2,9.8
22.1,8.6
34,11.7
27.1,7.7
20.8,5.7
19.2,6
22.2,6.2
21.4,10.9
22,6
23.9,6.8
30.1,10.6
21.7,8.9
14.1,6.6
14.7,6.3
19.2,8.4
29.7,12.7
26,10.6
23.3,5.3
20.5,6.9
19.2,6.1
15.5,3.8
13.8,4.4
25.3,6.3
23.7,5.1
24.1,5.5
41,16.1
35.2,14
21.2,5.4
21.2,6.7
23.3,8.6
14.6,5
13.3,5.8
14.2,7
10.5,4.7
11.7,5.4
16.3,9.4
21.1,10.4
16.8,5.4
23.9,8.3
27.4,10.8
35.2,9.3
22.4,6.7
27.7,7.5
22.2,10.5
23.4,12.3
23.4,5.2
25.7,7
21.9,4.3
17.6,2.6
32.4,5.7
28,7.7
