pm25,temp
4.5,90.5
6.3,88.4
5.5,87.2
7.5,87.8
5.2,89.4
6.3,92.1
6.2,92.9
6.8,94.4
7.3,94.5
6.9,94.4
7.3,94.7
7.6,88.6
8.3,84.4
8.3,84.8
12.5,87.8
9.1,90.9
13.9,90.6
11.9,89.8
13.1,89.3
10.6,87
7.5,85.1
8.5,85.9
10.3,88.1
12.3,90.9
9.4,90.5
7.3,84.4
6.1,83.1
9.8,74.9
26.4,77.4
8.5,77.5
6.6,77.3
8,83.9
15.4,88.1
7.1,86.2
6.4,85.7
7.9,87.2
7,90.9
9.1,91
18.6,92.1
16.8,93.1
11.3,92.1
7.7,86.9
8.2,89.2
9.6,86.7
10,88
10.9,90.9
17.7,92.9
29,89.9
20.9,85.7
18.3,89.7
15,88.9
7.3,89.9
8.9,88.9
15.4,75.1
5.8,67.4
5,68.7
6.6,71.4
4.5,76.5
4,77.3
5.7,80.4
5.4,84.2
5.4,81.9
6,80.2
4.5,80.8
6.6,83.5
7.6,86.6
5.8,88.2
6.5,84
9,79.2
13.9,83.4
13.6,85
8.7,84.6
6.6,83.6
6.3,83.7
8.1,78.8
8.3,78.7
9.9,82.6
10.8,82.7
11.4,83.3
8.4,78.9
5.2,76.8
3.9,79.4
5.4,80.9
8.4,84.1
7.7,84.7
7.2,81.2
6.6,82.3
5.8,83.2
5.5,82.6
7.2,79.5
16.9,81.5
13,83.5
13.3,84.5
13.9,85.4
11.5,87.2
6,86.7
5.6,85.5
6.1,81
3.6,76.6
3.2,76.3
3.7,73.1
2.9,72.5
2.7,72.7
4.1,74.3
5.8,77.1
5.6,80.3
5.6,80.7
7,82.8
7,81.6
7,83.2
6,85.4
5.1,84.7
5.8,86.6
6.2,84.7
6.7,84.8
6.6,84.9
6.3,84.2
10.1,81.5
10.3,81.2
