pm10,wind
30.5,4.6
23.9,5.8
27.2,4.9
18.8,5.2
27.3,5.2
26.1,6.1
26.8,4.7
28.3,5.3
27.2,6.3
28.7,6.6
30.5,9.5
25.1,7.6
21.9,5.4
39.1,4.2
31.5,4.9
37.2,5.5
39.1,5.8
26.4,5.8
26.7,6.4
25.2,7.3
26.8,6.1
34.4,5.1
43.1,4.4
30.2,5.2
20.6,7.8
22.7,9.6
29.4,8.4
93,7
23.9,6.8
27,6.4
34.2,7.8
49.2,11.6
26,9.1
25.1,7.4
25.2,4.9
23,6.6
25.2,5.2
72.6,6.4
57.3,6.4
37.9,8
22.1,9.5
23.1,8.1
24.9,7.2
32.1,5.7
34.4,5.5
72.2,6.6
109.4,11.1
68.7,9.5
53.8,7.6
35.3,8.1
18.1,7.6
28.1,6.4
38.7,12.3
10.2,8.3
9.7,6.1
14.8,4.5
11.9,5.6
19.2,6.1
24.6,4.9
31.2,5.9
22.1,6
19.1,6.5
13.5,6.9
21.6,5.8
25.2,5.4
22.1,6.5
28.9,10
22.2,5
22.1,6.5
34,5
27.1,7.3
20.8,7
19.2,7.2
22.2,6.3
21.4,6.2
22,8.2
23.9,7.3
30.1,5.7
21.7,6.2
14.1,7.6
14.7,4.9
19.2,5.6
29.7,3.6
26,5.7
23.3,8.6
20.5,6.6
19.2,5.3
15.5,7
13.8,8.3
25.3,7.3
23.7,7.9
24.1,6.2
41,5.3
35.2,5.5
21.2,6
21.2,7.5
23.3,6.1
14.6,6.9
13.3,6
14.2,4.6
10.5,6.5
11.7,5.1
16.3,5.3
21.1,4.3
16.8,7.2
23.9,5.9
27.4,4.5
35.2,6.5
22.4,7.6
27.7,6.4
22.2,5.5
23.4,5.9
23.4,8.3
25.7,6.2
21.9,6.5
17.6,8.6
32.4,6.6
28,5.8
