pm10,humidity
22.4,42.9
23.8,35.9
37,22.2
22.1,23
27,25
26.1,21.4
33.2,19.8
31.9,22.3
26.1,20.3
33.8,24.4
24,32.8
21.4,24.8
30.4,14.2
25.5,13.1
26.8,11.3
25.4,9.2
24,8.5
26.9,6.3
28.6,15.3
29.4,23.7
31,27.3
44,18.7
44.9,19.5
60.1,28.5
32.9,33.2
21.9,30.6
18.7,39.2
17.5,58.4
18.8,37.9
36.4,33.1
16.9,56.8
16.5,44
16.5,24.3
18.8,17.6
32.9,16.7
37.4,21.7
41.8,26.7
22.9,24.6
33.2,24.6
20.3,18.3
22,16.4
22.4,15.1
22.9,13
22.2,12
120,18
48.4,22.9
33.8,21.6
37.8,29
29.2,30.3
29,25.7
23.6,24.2
23.5,18.2
26.5,17
86.1,19.2
82,26.5
24.2,30.6
33.4,30.2
18.6,36.4
22.6,33.5
33.5,42.1
24.8,49.6
19.6,48.7
19.3,44.6
29.2,39.7
27.2,31
26.4,28.2
33.9,33.5
19,44
20,52.6
16.4,47.9
22.3,39.9
18.1,54
20.2,38.8
26.8,28
24.7,23.6
25.2,21.7
34.7,35.2
23.3,40.4
23.6,41.5
16.8,50.4
21.5,53.2
21.6,55
28,43.3
31.3,40.6
22.1,41.5
21.9,49.5
17.4,48.8
20.5,47.7
16.9,65.3
17.1,59.4
20.3,38.7
22.2,30.9
18.1,28.3
22.2,26.1
26.3,21.3
29.9,26.5
28.6,32.9
22.2,34.9
28,20.7
40.4,12.3
51.1,10.3
36.2,13.3
25.6,10.7
31.5,7.2
34.2,6.9
29.4,4.6
24.9,4.9
34,13.4
46.7,30.3
32.5,26.5
30.4,22.4
38.5,17
56.1,13.8
43.8,30.5
36.4,42.4
25.7,39.3
25.6,35.9
27.2,16.1
33.3,13.9
38.1,10.9
55.4,31.3
26.3,25.4
33.4,19.2
49,18.2
30.7,26.2
20.6,24.4
19.1,32
16.1,28.1
16.9,22.5
16,23.3
34.9,28.5
25,35.1
31.3,32.8
19,47
20,64
18.1,50.3
23.7,41
25.2,45.8
24.4,53.8
21,47.7
25.6,53.8
24,64.1
19,59.8
20.7,50.6
16.6,47.5
26.4,42.8
24.5,49.7
32.3,44.8
29.1,47.8
16.5,55.2
18.1,42.2
23.8,31.2
26,29.7
23.7,35.6
17.5,36.5
27.6,35.6
22.3,44.2
20.5,38.5
25.2,31.8
24,42.5
19.3,41.8
18.2,45.3
21.6,32.4
35.1,24.9
29.6,38.7
22.5,46.6
15.7,67.9
28.7,58.3
29.7,43.7
24.6,49.6
20.2,54.7
22.5,54.8
20.4,47.1
19.6,38.4
24.5,33.5
28.3,35.5
31.7,27.3
32.5,26
34.5,7.1
36,8.6
59.7,35.5
26.9,34.1
79.2,15.5
38.9,17.7
32.8,13.4
41.4,13.6
50.2,20.6
24.2,17.2
28.8,7.5
32.9,6
47.9,20
36.7,21
37.8,26.7
19,60.9
19.4,36.8
26.8,25
21.9,18
29.2,12.4
27.3,25.3
26.4,15.5
26,8.2
46.2,17.5
42,18
43.2,18.8
30.9,15.1
45.3,14.3
59.2,30.3
22.6,31.6
19.6,17
26.4,9.3
31.3,16.5
35.3,19
35,28.7
26.7,36.6
27.7,43.3
18.9,41.3
20.6,42.8
25.1,48.2
39.7,48.2
27.4,49.1
20.1,50.9
22.2,41.2
19.4,48.9
29.5,57.2
33.6,42.4
35.7,25.5
30.1,22.5
27.5,20.6
30.8,22.4
25.6,15.5
31.4,14.4
40.3,22.5
30.3,24.1
33.2,31.9
23.1,41.4
24.3,24.6
32.1,20.7
29.9,28.5
31.5,38.3
28.9,32.3
29.5,23
33.4,25.3
22.9,30.9
21.9,22.8
24.1,23.8
26.1,21.4
50.3,35.8
22,44.9
16.6,52
20.1,48.5
19.2,46.9
27.2,35.4
30.2,31.4
34.7,34
25.1,39.9
18.6,47.5
22.7,43
25.1,37.1
29.8,33.9
27.2,37.2
24.4,37
19.1,52.8
17.6,45.6
22.5,40.4
19.8,33
20.5,31.9
22.6,23.4
30,19.3
33.3,25
27,24.3
28.4,34.1
27.3,35.4
32.2,41.6
18.9,39.4
32.5,29.1
28.4,19.2
33,13.9
32.1,11
42.8,14.6
27,65.3
16.6,60.1
29.9,31.1
38.5,31.6
40.4,22.9
34.7,13.1
23.9,10.9
32.2,11
29.7,16.7
30.5,9.4
28.1,7.8
43.2,9
30.1,8.2
27.2,10.9
29,9.6
42.9,13.6
38.5,19.5
30.2,21.6
30.9,27.7
24,21.5
28.9,16
42.8,18.4
28.3,21.7
25.4,16.1
30.9,17.8
60,20.5
29,35.6
19.8,39.5
22.4,29.9
27.7,14.2
34.1,17.4
38.5,25
35.9,29.7
22.8,23.5
24.4,19.6
31,17.5
31.5,18.6
24.8,24.1
26.6,34
28.6,26.2
27.3,33.2
21.7,46.3
27,29.7
31,19.2
31.3,15.6
28.5,17.8
38.9,26.5
112.2,35.8
30.6,31
31.2,32.8
24.5,34.3
32.3,23.8
28.1,25.4
21.6,35.9
28,23.7
27.8,28.9
28.2,28.6
28.6,39.9
27.7,34.6
19.9,52.1
19.2,40.3
19.1,31.9
22.8,24
37.7,31.6
26.5,34.8
27,29.4
22.5,23.5
23.2,14.1
25.8,19.1
32.6,24.3
34.2,27.6
23.5,37.1
34.1,39.4
24,38.8
18.6,33.7
21,25.4
67.5,28.3
35.1,29.8
26.7,36.5
18.4,44.8
21.3,35.3
17,25.6
19.8,24.6
28.2,19.6
46.6,16.2
39.3,16
25.3,15.6
20.5,8.7
35.5,18.3
22.4,7.1
35.2,8.7
50.7,24.6
23.4,38.1
20.7,30.5
37.7,15.9
24.1,16.8
18.1,20
16,17.3
18.1,9.6
23.7,10.3
31.4,9.7
16.4,10
23.3,7.9
81.2,19.5
27.2,24.1
25.6,25.2
39.7,19.3
44.2,21.5
26,21.4
29.7,27.2
22.7,24.2
21.3,19.6
17.7,27.8
21.7,23.6
30.3,23.2
24.3,23
22.4,24.5
83.4,22.3
22.7,17.5
25.9,14.5
34,13.4
36.6,16.6
24.7,10.7
19.5,24.1
20,25.4
18.2,25.2
29.5,31.8
35.7,35.2
21,37.8
19.2,45
17.7,62.5
14.9,53.6
15.8,41.7
15.9,33.6
21.4,27.2
25.1,23.8
35.4,19.6
33.8,26.5
25.5,27.8
19.7,27.1
20.6,27.2
34.4,20.6
21.8,19.9
30.5,23.4
23.9,25.4
27.2,26.4
18.8,23.6
27.3,18.7
26.1,17.6
26.8,15
28.3,15
27.2,14.3
28.7,12.9
30.5,20.5
25.1,26.5
21.9,25.2
39.1,18.5
31.5,15.8
37.2,18.1
39.1,21.6
26.4,20.8
26.7,21
25.2,20
26.8,19.5
34.4,17
43.1,15.3
30.2,19
20.6,27.5
22.7,37.2
29.4,38.4
93,31.3
23.9,25.7
27,25.5
34.2,19
49.2,9.4
26,9.8
25.1,10.7
25.2,9
23,7.9
25.2,7.3
72.6,10.7
57.3,13.6
37.9,14.4
22.1,23.3
23.1,16.9
24.9,16.9
32.1,15
34.4,10.7
72.2,10.9
109.4,21
68.7,32.1
53.8,21.3
35.3,23.6
18.1,21.8
28.1,12.8
38.7,49
10.2,73
9.7,70.7
14.8,72.1
11.9,59.3
19.2,57.2
24.6,49.1
31.2,39.9
22.1,46.6
19.1,47.9
13.5,44.6
21.6,34.8
25.2,26.7
22.1,25.3
28.9,40.4
22.2,47
22.1,34.6
34,25.8
27.1,31.3
20.8,37.6
19.2,38.1
22.2,54
21.4,55
22,39.1
23.9,29.9
30.1,25.1
21.7,44.3
14.1,53.8
14.7,47.1
19.2,43.6
29.7,34.5
26,31.2
23.3,36
20.5,32.5
19.2,36.6
15.5,39.6
13.8,47.6
25.3,40
23.7,30.1
24.1,26.5
41,28.9
35.2,23.1
21.2,27.3
21.2,32.8
23.3,44.8
14.6,57.8
13.3,58.9
14.2,70
10.5,71.1
11.7,66.7
16.3,65.5
21.1,54.9
16.8,48.5
23.9,42.1
27.4,34
35.2,44
22.4,43.8
27.7,35
22.2,35.2
23.4,28.1
23.4,31.5
25.7,32.7
21.9,30.5
17.6,33.6
32.4,42.8
28,47.8
