pm10,temp
22.4,69.8
23.8,74.1
37,82.6
22.1,84
27,83.9
26.1,85.9
33.2,86.9
31.9,85.5
26.1,86.8
33.8,85.8
24,82
21.4,86.3
30.4,87
25.5,84.6
26.8,87.5
25.4,87.1
24,87.9
26.9,91.6
28.6,89.4
29.4,85.8
31,86.9
44,92.4
44.9,91.4
60.1,87.3
32.9,83.6
21.9,83.4
18.7,82.9
17.5,76.1
18.8,83.2
36.4,83.9
16.9,76.3
16.5,81.7
16.5,87.1
18.8,91.3
32.9,90.3
37.4,90
41.8,88.5
22.9,89.3
33.2,89.4
20.3,92.5
22,92.1
22.4,91.3
22.9,92.3
22.2,94.8
120,90.4
48.4,89.1
33.8,89.9
37.8,87
29.2,86.3
29,88.9
23.6,90.2
23.5,91.8
26.5,92.6
86.1,91.6
82,89.2
24.2,87.8
33.4,86.6
18.6,84.6
22.6,85
33.5,81.8
24.8,80.2
19.6,80.4
19.3,81.2
29.2,84.2
27.2,86.6
26.4,87
33.9,85.4
19,80.6
20,79.1
16.4,82.3
22.3,84.6
18.1,76.1
20.2,77.6
26.8,79.4
24.7,81.9
25.2,82.5
34.7,81.4
23.3,81.3
23.6,78.2
16.8,75.4
21.5,77
21.6,76.6
28,78.7
31.3,76.8
22.1,77.8
21.9,77.5
17.4,76.6
20.5,76.9
16.9,72.1
17.1,74.9
20.3,74.8
22.2,77.1
18.1,80
22.2,82.8
26.3,86.4
29.9,84.9
28.6,82.1
22.2,80.4
28,86.2
40.4,88.6
51.1,85.6
36.2,84.3
25.6,84.7
31.5,86
34.2,88.7
29.4,88.9
24.9,89.7
34,88.9
46.7,89
32.5,91.1
30.4,90.7
38.5,94.3
56.1,95.4
43.8,85.3
36.4,80.4
25.7,81.6
25.6,83
27.2,89.8
33.3,89.2
38.1,89.9
55.4,86.9
26.3,86.7
33.4,90.3
49,90.7
30.7,86.4
20.6,87.2
19.1,83.6
16.1,86
16.9,87.5
16,87.7
34.9,87.1
25,83.4
31.3,85.4
19,78.8
20,74.8
18.1,78.7
23.7,82.3
25.2,80.9
24.4,77.1
21,78.9
25.6,78.2
24,76.2
19,77.6
20.7,80.7
16.6,81.6
26.4,85.1
24.5,79.7
32.3,81.1
29.1,82
16.5,77.7
18.1,80.9
23.8,82.7
26,83.9
23.7,84
17.5,84
27.6,85
22.3,83
20.5,84.5
25.2,86.9
24,83
19.3,82.7
18.2,79.5
21.6,82.6
35.1,84.7
29.6,82.9
22.5,78.4
15.7,72.3
28.7,77.1
29.7,83.2
24.6,79.4
20.2,74.9
22.5,77.1
20.4,80
19.6,81.2
24.5,81
28.3,79.8
31.7,79
32.5,79.4
34.5,87.9
36,89.2
59.7,81.9
26.9,81.5
79.2,89.1
38.9,87.9
32.8,90.1
41.4,89.8
50.2,86.1
24.2,87.3
28.8,88.8
32.9,90.9
47.9,88.6
36.7,87.1
37.8,85.2
19,73.4
19.4,76.6
26.8,84.3
21.9,88.9
29.2,89.2
27.3,90.4
26.4,92.6
26,91.7
46.2,88.4
42,87.8
43.2,91.4
30.9,92.2
45.3,91.4
59.2,82.4
22.6,80.4
19.6,86
26.4,88.6
31.3,89.3
35.3,89.3
35,86.4
26.7,82.4
27.7,79.5
18.9,80.3
20.6,79.6
25.1,78.7
39.7,78.7
27.4,78.6
20.1,78.8
22.2,81.5
19.4,80
29.5,76.6
33.6,82.2
35.7,88.3
30.1,91.5
27.5,91.9
30.8,90.4
25.6,93.3
31.4,93.6
40.3,90.1
30.3,91.1
33.2,87.1
23.1,81.3
24.3,86.5
32.1,89.4
29.9,87.6
31.5,82.7
28.9,85.9
29.5,89.3
33.4,88.8
22.9,87.4
21.9,89.4
24.1,87
26.1,88.9
50.3,84.1
22,78.5
16.6,75.4
20.1,75.8
19.2,76.1
27.2,81.3
30.2,85.4
34.7,84.6
25.1,83.3
18.6,81.2
22.7,83.3
25.1,85.4
29.8,86.2
27.2,84
24.4,82.9
19.1,77.8
17.6,80.3
22.5,82.2
19.8,86.2
20.5,86
22.6,86.1
30,88
33.3,87.4
27,87.3
28.4,81.6
27.3,81.4
32.2,76.4
18.9,74.4
32.5,77
28.4,81.3
33,85.7
32.1,85.6
42.8,83.1
27,63.8
16.6,68
29.9,81.4
38.5,84
40.4,85.6
34.7,84.4
23.9,84.2
32.2,85.3
29.7,84.2
30.5,84.9
28.1,85.1
43.2,84.6
30.1,82.6
27.2,81.5
29,82.9
42.9,85.9
38.5,88
30.2,89.5
30.9,87.7
24,87.6
28.9,87.9
42.8,87.6
28.3,87.3
25.4,88.2
30.9,88.4
60,88.4
29,81.1
19.8,80
22.4,83.9
27.7,87.1
34.1,90.7
38.5,86.6
35.9,84.4
22.8,88.1
24.4,89.9
31,90.7
31.5,90.5
24.8,88.8
26.6,86.7
28.6,88.6
27.3,83.7
21.7,79.6
27,82.8
31,85.9
31.3,88.4
28.5,89.4
38.9,88.4
112.2,84
30.6,86.6
31.2,86
24.5,86.6
32.3,90.5
28.1,90.5
21.6,85.8
28,90.7
27.8,88.3
28.2,89.1
28.6,84.9
27.7,86.1
19.9,79
19.2,83.1
19.1,86
22.8,87.8
37.7,85.8
26.5,83.7
27,87.5
22.5,88.5
23.2,89.1
25.8,90.4
32.6,89.7
34.2,86.7
23.5,82.7
34.1,81.3
24,81.9
18.6,86.5
21,90.3
67.5,88.7
35.1,85.6
26.7,83.7
18.4,80.5
21.3,83.7
17,81.2
19.8,84.7
28.2,88.8
46.6,90.6
39.3,92.2
