ozone,temp,humidity,radiation,wind
39,89.1,15.5,0.453,8.5
45,87.9,17.7,0.416,8.6
37,90.1,13.4,0.491,5.9
42,89.8,13.6,0.476,7
44,86.1,20.6,0.354,8.1
43,87.3,17.2,0.494,6.8
35,88.8,7.5,0.534,8.1
33,90.9,6,0.533,4.4
41,88.6,20,0.463,9.8
40,87.1,21,0.503,6.6
35,85.2,26.7,0.381,7.2
35,73.4,60.9,0.29,7.7
37,76.6,36.8,0.531,6
34,84.3,25,0.525,4.4
44,88.9,18,0.526,6.3
46,89.2,12.4,0.538,7.8
50,90.4,25.3,0.524,6.4
40,92.6,15.5,0.531,6.8
45,91.7,8.2,0.541,9.5
41,88.4,17.5,0.525,11.5
48,87.8,18,0.515,5.9
47,91.4,18.8,0.518,6.2
42,92.2,15.1,0.522,5.4
43,91.4,14.3,0.417,7
41,82.4,30.3,0.223,9.5
41,80.4,31.6,0.381,8.7
43,86,17,0.531,7.2
37,88.6,9.3,0.364,5.4
39,89.3,16.5,0.423,4
44,89.3,19,0.462,7.4
45,86.4,28.7,0.399,11.2
40,82.4,36.6,0.393,9.5
49,79.5,43.3,0.35,7.1
51,80.3,41.3,0.517,8.1
47,79.6,42.8,0.304,7.7
40,78.7,48.2,0.412,7.1
35,78.7,48.2,0.365,6.6
39,78.6,49.1,0.341,5.9
45,78.8,50.9,0.372,5.8
47,81.5,41.2,0.433,4.9
48,80,48.9,0.404,5.3
43,76.6,57.2,0.403,5.1
32,82.2,42.4,0.502,4.6
33,88.3,25.5,0.497,4.6
45,91.5,22.5,0.494,6.4
40,91.9,20.6,0.505,5.9
51,90.4,22.4,0.507,5.1
48,93.3,15.5,0.511,4.1
40,93.6,14.4,0.505,7.2
54,90.1,22.5,0.465,8.8
60,91.1,24.1,0.483,5.7
55,87.1,31.9,0.472,6.9
56,81.3,41.4,0.409,7
58,86.5,24.6,0.422,5.5
57,89.4,20.7,0.465,4.7
46,87.6,28.5,0.363,6.3
49,82.7,38.3,0.438,8.5
47,85.9,32.3,0.425,5.3
51,89.3,23,0.428,5.6
57,88.8,25.3,0.412,5.5
66,87.4,30.9,0.477,4.4
49,89.4,22.8,0.485,7.8
36,87,23.8,0.474,7.9
28,88.9,21.4,0.487,6.3
36,84.1,35.8,0.368,7.5
36,78.5,44.9,0.225,5.6
43,75.4,52,0.208,5.4
47,75.8,48.5,0.388,6.4
45,76.1,46.9,0.444,5.6
48,81.3,35.4,0.463,4.3
39,85.4,31.4,0.46,5.5
39,84.6,34,0.39,7.2
43,83.3,39.9,0.448,7.2
46,81.2,47.5,0.469,5.4
40,83.3,43,0.386,6.1
40,85.4,37.1,0.467,3.9
42,86.2,33.9,0.432,8
43,84,37.2,0.374,7.7
40,82.9,37,0.403,6.7
43,77.8,52.8,0.442,7.3
44,80.3,45.6,0.459,6.7
40,82.2,40.4,0.28,4.9
39,86.2,33,0.43,5.6
38,86,31.9,0.437,7.7
38,86.1,23.4,0.453,5.2
48,88,19.3,0.463,6
43,87.4,25,0.445,4.1
33,87.3,24.3,0.381,3.5
42,81.6,34.1,0.481,6.9
43,81.4,35.4,0.498,8.7
45,76.4,41.6,0.459,9.7
47,74.4,39.4,0.41,9
44,77,29.1,0.523,5.9
42,81.3,19.2,0.508,4.9
41,85.7,13.9,0.51,6.5
34,85.6,11,0.528,8.4
36,83.1,14.6,0.496,7.8
34,63.8,65.3,0.078,10.2
34,68,60.1,0.405,5
42,81.4,31.1,0.525,8.2
50,84,31.6,0.484,9.1
37,85.6,22.9,0.504,8.7
38,84.4,13.1,0.531,9.5
43,84.2,10.9,0.532,6.4
34,85.3,11,0.519,5.9
37,84.2,16.7,0.528,6.3
41,84.9,9.4,0.53,7.8
41,85.1,7.8,0.539,8.9
37,84.6,9,0.526,9.5
45,82.6,8.2,0.534,8.5
41,81.5,10.9,0.533,6.4
35,82.9,9.6,0.536,4.2
35,85.9,13.6,0.5,6.6
40,88,19.5,0.489,7.4
45,89.5,21.6,0.512,7.2
40,87.7,27.7,0.492,8.2
37,87.6,21.5,0.522,7.5
37,87.9,16,0.534,5.8
37,87.6,18.4,0.494,6.9
34,87.3,21.7,0.443,6.4
30,88.2,16.1,0.529,8.2
32,88.4,17.8,0.487,9.1
39,88.4,20.5,0.523,9.1
40,81.1,35.6,0.376,9
45,80,39.5,0.361,6.3
39,83.9,29.9,0.489,4.8
31,87.1,14.2,0.524,4.6
34,90.7,17.4,0.488,5.1
45,86.6,25,0.355,8.8
34,84.4,29.7,0.481,3.8
46,88.1,23.5,0.499,6.4
44,89.9,19.6,0.515,5.7
53,90.7,17.5,0.502,5.6
42,90.5,18.6,0.428,7.7
48,88.8,24.1,0.387,6.2
51,86.7,34,0.472,6.2
46,88.6,26.2,0.509,7
50,83.7,33.2,0.309,9.9
47,79.6,46.3,0.404,9.2
51,82.8,29.7,0.469,6.5
47,85.9,19.2,0.504,6.3
54,88.4,15.6,0.489,6.3
58,89.4,17.8,0.499,6.2
46,88.4,26.5,0.345,6.2
50,84,35.8,0.442,8.1
38,86.6,31,0.476,7
48,86,32.8,0.494,6
44,86.6,34.3,0.474,6
39,90.5,23.8,0.477,5.3
50,90.5,25.4,0.42,5.5
54,85.8,35.9,0.477,5.7
59,90.7,23.7,0.467,5.7
47,88.3,28.9,0.366,5.6
55,89.1,28.6,0.424,6
53,84.9,39.9,0.413,8
47,86.1,34.6,0.451,6.7
56,79,52.1,0.464,7.6
45,83.1,40.3,0.474,7.9
34,86,31.9,0.463,7
36,87.8,24,0.414,6.9
42,85.8,31.6,0.457,8.8
48,83.7,34.8,0.449,4.5
43,87.5,29.4,0.471,5.2
40,88.5,23.5,0.459,7.1
34,89.1,14.1,0.471,6.2
44,90.4,19.1,0.372,5.2
41,89.7,24.3,0.442,6.6
43,86.7,27.6,0.411,7.9
42,82.7,37.1,0.437,5.1
36,81.3,39.4,0.36,5.9
42,81.9,38.8,0.417,6.8
39,86.5,33.7,0.462,7.7
37,90.3,25.4,0.459,7.6
41,88.7,28.3,0.453,6.7
45,85.6,29.8,0.409,5.2
47,83.7,36.5,0.381,6.8
43,80.5,44.8,0.397,5.7
34,83.7,35.3,0.447,5.8
47,81.2,25.6,0.533,7.1
46,84.7,24.6,0.527,5.2
45,88.8,19.6,0.529,5.3
38,90.6,16.2,0.483,4
38,92.2,16,0.517,8.3
46,90.8,15.6,0.524,7.7
41,85.6,8.7,0.55,8.1
35,81.6,18.3,0.533,11.5
45,73.2,7.1,0.558,8.2
37,80.2,8.7,0.546,4.2
44,83.6,24.6,0.391,11.1
45,80.1,38.1,0.524,8.7
41,81.4,30.5,0.446,7.4
45,84.4,15.9,0.413,6.6
53,84.4,16.8,0.476,7
46,85,20,0.494,6
43,86.9,17.3,0.531,8.3
37,85.6,9.6,0.545,7.5
36,86.2,10.3,0.537,7.9
38,86.8,9.7,0.535,7
41,89.4,10,0.531,7.3
45,90.5,7.9,0.512,8.7
45,86,19.5,0.499,8.8
53,84.8,24.1,0.509,9
50,85.7,25.2,0.51,6.4
43,87.9,19.3,0.41,7.8
45,85.5,21.5,0.428,7.5
45,83.9,21.4,0.467,10.5
34,84,27.2,0.521,11
31,84.3,24.2,0.53,9.4
30,82.8,19.6,0.324,5.9
33,85.1,27.8,0.452,6.4
33,88.4,23.6,0.476,7.6
39,89.2,23.2,0.492,5.6
40,89.4,23,0.501,6.9
45,88.3,24.5,0.524,7.4
52,89,22.3,0.508,5.6
43,92.5,17.5,0.527,5.5
35,94.1,14.5,0.521,5.5
37,95.9,13.4,0.514,5
39,95.3,16.6,0.52,6.3
27,95.8,10.7,0.526,6
50,88.6,24.1,0.498,7.3
51,88.9,25.4,0.473,7.7
51,87.8,25.2,0.498,5.7
44,85.2,31.8,0.468,6
48,83.4,35.2,0.477,7.1
40,82.8,37.8,0.399,6.9
41,81.1,45,0.415,5.5
44,75.5,62.5,0.388,5.7
55,78.3,53.6,0.468,5.2
37,84.5,41.7,0.497,7.1
36,84.9,33.6,0.505,6.8
35,87.5,27.2,0.491,5.3
33,90.4,23.8,0.485,4.7
35,93.5,19.6,0.44,4.4
47,88.8,26.5,0.507,9.6
65,86.9,27.8,0.453,7.4
48,85.4,27.1,0.487,6.4
48,86.5,27.2,0.494,5.2
43,89.8,20.6,0.419,5.4
42,90.5,19.9,0.48,5.8
43,88.4,23.4,0.291,4.6
40,87.2,25.4,0.461,5.8
52,87.8,26.4,0.471,4.9
46,89.4,23.6,0.476,5.2
39,92.1,18.7,0.477,5.2
44,92.9,17.6,0.474,6.1
43,94.4,15,0.476,4.7
41,94.5,15,0.406,5.3
43,94.4,14.3,0.46,6.3
40,94.7,12.9,0.465,6.6
41,88.6,20.5,0.439,9.5
38,84.4,26.5,0.387,7.6
46,84.8,25.2,0.471,5.4
40,87.8,18.5,0.46,4.2
36,90.9,15.8,0.44,4.9
47,90.6,18.1,0.416,5.5
56,89.8,21.6,0.441,5.8
51,89.3,20.8,0.404,5.8
46,87,21,0.41,6.4
40,85.1,20,0.449,7.3
43,85.9,19.5,0.445,6.1
40,88.1,17,0.441,5.1
36,90.9,15.3,0.436,4.4
48,90.5,19,0.442,5.2
40,84.4,27.5,0.145,7.8
36,83.1,37.2,0.294,9.6
51,74.9,38.4,0.518,8.4
46,77.4,31.3,0.451,7
45,77.5,25.7,0.307,6.8
43,77.3,25.5,0.289,6.4
38,83.9,19,0.512,7.8
40,88.1,9.4,0.522,11.6
33,86.2,9.8,0.541,9.1
29,85.7,10.7,0.517,7.4
26,87.2,9,0.508,4.9
34,90.9,7.9,0.529,6.6
27,91,7.3,0.525,5.2
37,92.1,10.7,0.505,6.4
37,93.1,13.6,0.461,6.4
41,92.1,14.4,0.514,8
51,86.9,23.3,0.522,9.5
48,89.2,16.9,0.522,8.1
44,86.7,16.9,0.533,7.2
40,88,15,0.521,5.7
39,90.9,10.7,0.524,5.5
38,92.9,10.9,0.462,6.6
47,89.9,21,0.463,11.1
56,85.7,32.1,0.495,9.5
45,89.7,21.3,0.443,7.6
43,88.9,23.6,0.492,8.1
43,89.9,21.8,0.518,7.6
39,88.9,12.8,0.529,6.4
48,75.1,49,0.415,12.3
40,67.4,73,0.149,8.3
34,68.7,70.7,0.162,6.1
27,71.4,72.1,0.249,4.5
34,76.5,59.3,0.392,5.6
26,77.3,57.2,0.318,6.1
43,80.4,49.1,0.493,4.9
42,84.2,39.9,0.512,5.9
47,81.9,46.6,0.461,6
54,80.2,47.9,0.426,6.5
45,80.8,44.6,0.41,6.9
46,83.5,34.8,0.483,5.8
55,86.6,26.7,0.519,5.4
50,88.2,25.3,0.527,6.5
40,84,40.4,0.497,10
38,79.2,47,0.468,5
38,83.4,34.6,0.511,6.5
30,85,25.8,0.502,5
43,84.6,31.3,0.506,7.3
50,83.6,37.6,0.501,7
48,83.7,38.1,0.448,7.2
40,78.8,54,0.349,6.3
35,78.7,55,0.348,6.2
53,82.6,39.1,0.446,8.2
59,82.7,29.9,0.501,7.3
55,83.3,25.1,0.342,5.7
53,78.9,44.3,0.422,6.2
48,76.8,53.8,0.475,7.6
45,79.4,47.1,0.5,4.9
44,80.9,43.6,0.405,5.6
51,84.1,34.5,0.507,3.6
42,84.7,31.2,0.425,5.7
46,81.2,36,0.505,8.6
41,82.3,32.5,0.496,6.6
44,83.2,36.6,0.381,5.3
45,82.6,39.6,0.403,7
50,79.5,47.6,0.447,8.3
60,81.5,40,0.482,7.3
60,83.5,30.1,0.483,7.9
61,84.5,26.5,0.48,6.2
46,85.4,28.9,0.487,5.3
34,87.2,23.1,0.482,5.5
42,86.7,27.3,0.462,6
40,85.5,32.8,0.482,7.5
38,81,44.8,0.295,6.1
41,76.6,57.8,0.402,6.9
38,76.3,58.9,0.415,6
37,73.1,70,0.262,4.6
35,72.5,71.1,0.264,6.5
40,72.7,66.7,0.309,5.1
33,74.3,65.5,0.366,5.3
34,77.1,54.9,0.448,4.3
32,80.3,48.5,0.442,7.2
25,80.7,42.1,0.483,5.9
25,82.8,34,0.477,4.5
35,81.6,44,0.432,6.5
29,83.2,43.8,0.436,7.6
32,85.4,35,0.45,6.4
38,84.7,35.2,0.473,5.5
31,86.6,28.1,0.472,5.9
33,84.7,31.5,0.468,8.3
35,84.8,32.7,0.472,6.2
46,84.9,30.5,0.458,6.5
41,84.2,33.6,0.441,8.6
36,81.5,42.8,0.452,6.6
31,81.2,47.8,0.387,5.8
